"region"	"year"	"month"	"day"	"total_deaths"
"Azuay"	2017	1	1	6
"Azuay"	2017	1	2	13
"Azuay"	2017	1	3	14
"Azuay"	2017	1	4	8
"Azuay"	2017	1	5	6
"Azuay"	2017	1	6	7
"Azuay"	2017	1	7	9
"Azuay"	2017	1	8	3
"Azuay"	2017	1	9	12
"Azuay"	2017	1	10	14
"Azuay"	2017	1	11	12
"Azuay"	2017	1	12	13
"Azuay"	2017	1	13	7
"Azuay"	2017	1	14	21
"Azuay"	2017	1	15	8
"Azuay"	2017	1	16	4
"Azuay"	2017	1	17	10
"Azuay"	2017	1	18	11
"Azuay"	2017	1	19	11
"Azuay"	2017	1	20	10
"Azuay"	2017	1	21	13
"Azuay"	2017	1	22	15
"Azuay"	2017	1	23	9
"Azuay"	2017	1	24	6
"Azuay"	2017	1	25	11
"Azuay"	2017	1	26	11
"Azuay"	2017	1	27	9
"Azuay"	2017	1	28	14
"Azuay"	2017	1	29	10
"Azuay"	2017	1	30	8
"Azuay"	2017	1	31	14
"Azuay"	2017	2	1	10
"Azuay"	2017	2	2	8
"Azuay"	2017	2	3	8
"Azuay"	2017	2	4	7
"Azuay"	2017	2	5	11
"Azuay"	2017	2	6	14
"Azuay"	2017	2	7	16
"Azuay"	2017	2	8	12
"Azuay"	2017	2	9	12
"Azuay"	2017	2	10	13
"Azuay"	2017	2	11	9
"Azuay"	2017	2	12	13
"Azuay"	2017	2	13	13
"Azuay"	2017	2	14	12
"Azuay"	2017	2	15	11
"Azuay"	2017	2	16	10
"Azuay"	2017	2	17	7
"Azuay"	2017	2	18	11
"Azuay"	2017	2	19	8
"Azuay"	2017	2	20	12
"Azuay"	2017	2	21	13
"Azuay"	2017	2	22	11
"Azuay"	2017	2	23	11
"Azuay"	2017	2	24	12
"Azuay"	2017	2	25	6
"Azuay"	2017	2	26	7
"Azuay"	2017	2	27	12
"Azuay"	2017	2	28	12
"Azuay"	2017	3	1	11
"Azuay"	2017	3	2	11
"Azuay"	2017	3	3	12
"Azuay"	2017	3	4	13
"Azuay"	2017	3	5	8
"Azuay"	2017	3	6	14
"Azuay"	2017	3	7	8
"Azuay"	2017	3	8	5
"Azuay"	2017	3	9	10
"Azuay"	2017	3	10	11
"Azuay"	2017	3	11	13
"Azuay"	2017	3	12	10
"Azuay"	2017	3	13	9
"Azuay"	2017	3	14	3
"Azuay"	2017	3	15	11
"Azuay"	2017	3	16	6
"Azuay"	2017	3	17	16
"Azuay"	2017	3	18	9
"Azuay"	2017	3	19	10
"Azuay"	2017	3	20	10
"Azuay"	2017	3	21	12
"Azuay"	2017	3	22	14
"Azuay"	2017	3	23	10
"Azuay"	2017	3	24	12
"Azuay"	2017	3	25	8
"Azuay"	2017	3	26	11
"Azuay"	2017	3	27	9
"Azuay"	2017	3	28	13
"Azuay"	2017	3	29	14
"Azuay"	2017	3	30	13
"Azuay"	2017	3	31	13
"Azuay"	2017	4	1	10
"Azuay"	2017	4	2	11
"Azuay"	2017	4	3	19
"Azuay"	2017	4	4	11
"Azuay"	2017	4	5	6
"Azuay"	2017	4	6	12
"Azuay"	2017	4	7	10
"Azuay"	2017	4	8	12
"Azuay"	2017	4	9	14
"Azuay"	2017	4	10	11
"Azuay"	2017	4	11	14
"Azuay"	2017	4	12	8
"Azuay"	2017	4	13	15
"Azuay"	2017	4	14	5
"Azuay"	2017	4	15	7
"Azuay"	2017	4	16	8
"Azuay"	2017	4	17	9
"Azuay"	2017	4	18	10
"Azuay"	2017	4	19	11
"Azuay"	2017	4	20	10
"Azuay"	2017	4	21	15
"Azuay"	2017	4	22	13
"Azuay"	2017	4	23	18
"Azuay"	2017	4	24	12
"Azuay"	2017	4	25	14
"Azuay"	2017	4	26	8
"Azuay"	2017	4	27	13
"Azuay"	2017	4	28	12
"Azuay"	2017	4	29	4
"Azuay"	2017	4	30	8
"Azuay"	2017	5	1	12
"Azuay"	2017	5	2	17
"Azuay"	2017	5	3	15
"Azuay"	2017	5	4	9
"Azuay"	2017	5	5	11
"Azuay"	2017	5	6	15
"Azuay"	2017	5	7	11
"Azuay"	2017	5	8	13
"Azuay"	2017	5	9	8
"Azuay"	2017	5	10	7
"Azuay"	2017	5	11	9
"Azuay"	2017	5	12	9
"Azuay"	2017	5	13	14
"Azuay"	2017	5	14	9
"Azuay"	2017	5	15	15
"Azuay"	2017	5	16	11
"Azuay"	2017	5	17	9
"Azuay"	2017	5	18	12
